Serial OPM emnulator - serialopm version 0.3.0 (2023/05/10) tantan
--
ymfm Copyright (c) 2021, Aaron Giles
All rights reserved.
--
reg=06, data=7E
reg=60, data=00
reg=FE, data=60
reg=06, data=80
reg=E0, data=FE
reg=60, data=06
reg=00, data=78
reg=98, data=78
reg=06, data=80
reg=78, data=60
reg=06, data=00
reg=9E, data=80
reg=7E, data=60
reg=60, data=F3
reg=33, data=60
reg=06, data=00
reg=1E, data=60
reg=30, data=06
reg=80, data=9E
reg=1E, data=98
reg=06, data=00
reg=7E, data=80
reg=7E, data=60
reg=60, data=FC
reg=3C, data=C0
reg=7E, data=60
reg=80, data=7E
reg=1E, data=C0
reg=3F, data=60
reg=E0, data=7E
reg=00, data=7E
reg=60, data=00
reg=7F, data=60
reg=61, data=3F
reg=60, data=60
reg=FF, data=3F
reg=60, data=06
reg=00, data=7E
reg=98, data=7E
reg=60, data=E0
reg=7E, data=66
reg=06, data=80
reg=06, data=00
reg=7E, data=60
reg=00, data=61
reg=E6, data=7E
reg=60, data=80
reg=18, data=06
reg=30, data=06
reg=80, data=86
reg=06, data=86
reg=7E, data=60
reg=60, data=C0
reg=C0, data=E6
reg=06, data=06
reg=FE, data=FE
reg=7E, data=60
reg=98, data=FE
reg=7E, data=60
reg=E0, data=FE
reg=7E, data=60
reg=F8, data=FE
reg=7E, data=60
reg=80, data=18
reg=9E, data=7E
reg=60, data=F8
reg=18, data=00
reg=7E, data=60
reg=E0, data=60
reg=00, data=7E
reg=60, data=78
reg=18, data=00
reg=7E, data=60
reg=78, data=18
reg=00, data=7E
reg=60, data=1E
reg=06, data=00
reg=7E, data=60
reg=00, data=06
reg=FE, data=E6
reg=06, data=86
reg=98, data=80
reg=98, data=06
reg=06, data=66
reg=E0, data=E6
reg=06, data=86
reg=66, data=E0
reg=98, data=06
reg=06, data=9E
reg=78, data=60
reg=06, data=86
reg=9E, data=80
reg=60, data=06
reg=06, data=66
reg=06, data=7E
reg=60, data=F8
reg=66, data=06
reg=7E, data=60
reg=00, data=FE
reg=60, data=06
reg=86, data=E0
reg=FE, data=60
reg=06, data=06
reg=78, data=86
reg=66, data=06
reg=86, data=78
reg=60, data=06
reg=06, data=E6
reg=00, data=7E
reg=60, data=98
reg=1E, data=00
reg=7E, data=60
reg=E0, data=1E
reg=00, data=7E
reg=60, data=F8
reg=1E, data=00
reg=7E, data=60
reg=00, data=00
reg=7E, data=60
reg=18, data=00
reg=7E, data=60
reg=60, data=06
reg=80, data=7E
reg=60, data=78
reg=06, data=80
reg=7E, data=60
reg=80, data=00
..reg=7E, data=60
reg=98, data=00
reg=7E, data=60
reg=E0, data=78
reg=80, data=7E
reg=60, data=F8
reg=7E, data=80
reg=7E, data=60
reg=E0, data=66
reg=06, data=7E
reg=60, data=F8
reg=66, data=06
reg=7E, data=60
reg=80, data=18
.reg=9E, data=7E
reg=60, data=60
reg=C0, data=C3
reg=E6, data=06
reg=18, data=FE
reg=FE, data=7E
reg=60, data=66
reg=FF, data=FF
reg=7E, data=60
reg=86, data=FE
reg=7E, data=60
reg=E6, data=FE
reg=7E, data=60
reg=06, data=C3
reg=CC, data=7E
reg=60, data=E6
reg=18, data=00
reg=7E, data=60
reg=E0, data=60
reg=00, data=7E
reg=60, data=78
reg=18, data=00
reg=7E, data=60
reg=78, data=18
reg=00, data=7E
reg=60, data=1E
reg=06, data=00
reg=7E, data=60
reg=06, data=CC
reg=0C, data=98
reg=06, data=98
reg=98, data=18
reg=E6, data=06
reg=18, data=66
reg=E0, data=E6
reg=06, data=98
reg=66, data=00
reg=E6, data=06
reg=18, data=9E
reg=F8, data=60
reg=06, data=98
reg=9E, data=60
reg=60, data=06
reg=18, data=86
reg=60, data=06
reg=98, data=66
reg=06, data=7E
reg=60, data=06
reg=F0, data=FF
reg=60, data=06
reg=98, data=E0
reg=FE, data=60
reg=06, data=18
reg=78, data=60
reg=06, data=98
reg=78, data=66
reg=06, data=18
reg=E6, data=00
reg=7E, data=60
reg=66, data=F3
reg=00, data=7E
reg=60, data=86
reg=1E, data=00
reg=7E, data=60
reg=E6, data=1E
reg=00, data=7E
reg=60, data=06
reg=FC, data=00
.reg=7E, data=60
reg=66, data=FC
reg=00, data=7E
reg=60, data=86
reg=7E, data=00
reg=7E, data=60
reg=E6, data=7E
reg=00, data=7E
reg=60, data=06
reg=FF, data=0F
reg=C0, data=7E
reg=60, data=66
reg=FF, data=0F
reg=C0, data=7E
reg=60, data=86
reg=1E, data=80
reg=7E, data=60
reg=E6, data=78
reg=80, data=7E
reg=60, data=E6
reg=86, data=80
reg=7E, data=60
reg=06, data=C3
reg=CC, data=7E
reg=60, data=86
reg=18, data=80
reg=98, data=06
reg=98, data=86
reg=98, data=66
reg=06, data=80
reg=80, data=98
reg=E6, data=06
reg=1E, data=FE
reg=FE, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=F8
reg=FE, data=7E
reg=60, data=FE
reg=FE, data=7E
reg=60, data=60
reg=86, data=FE
reg=7E, data=60
reg=7E, data=06
reg=00, data=7E
reg=60, data=E0
reg=60, data=00
reg=7E, data=60
reg=78, data=18
reg=00, data=7E
reg=60, data=78
reg=18, data=00
reg=7E, data=60
reg=1E, data=06
reg=00, data=7E
reg=60, data=80
reg=86, data=78
reg=E6, data=06
reg=9E, data=98
reg=18, data=E6
reg=06, data=1E
reg=66, data=E0
reg=E6, data=06
reg=9E, data=66
reg=00, data=E6
reg=06, data=1E
reg=9E, data=F8
reg=60, data=06
reg=9E, data=9E
reg=60, data=60
reg=06, data=1E
reg=86, data=60
reg=06, data=9E
reg=66, data=06
reg=7E, data=60
.reg=00, data=FE
reg=60, data=06
reg=9E, data=E0
reg=FE, data=60
reg=06, data=1E
reg=78, data=60
reg=06, data=9E
reg=78, data=66
reg=06, data=1E
reg=E6, data=00
reg=7E, data=60
reg=66, data=00
reg=7E, data=60
reg=78, data=00
reg=7E, data=60
reg=7E, data=00
reg=7E, data=60
reg=80, data=00
reg=7E, data=60
reg=86, data=00
reg=7E, data=60
reg=98, data=00
reg=7E, data=60
reg=9E, data=06
reg=80, data=7E
reg=60, data=E0
reg=1E, data=80
reg=7E, data=60
reg=E6, data=1E
reg=80, data=7E
reg=60, data=F8
reg=1E, data=80
reg=7E, data=60
reg=FE, data=78
reg=80, data=7E
reg=60, data=FE
reg=06, data=06
reg=7E, data=60
